input_text,target_text
ძესა,ძესა
აამსთან,ამასთან
სამსტოვრსო,სამსტოვროს
ბაზით,ბაზით
უეჭველადო,უეჭველადო
სიმპტგომაქტურია,სიმპტომატურია
ჟკრა,ჟურა
აჰერი,ჰაერი
იქმა,ქიმა
რაუმს,რაუმა
ქუტდრბისგან,ქურდებისგან
ბახსი,ბახესი
დინასტიბეი,დინასტიები
ცრემლო,ცრემლი
ქალიშვილკა,ქალიშვილმა
ლევინჯ,ლევინი
ლაპარაკიც,ლაპარაკიც
გაეასინჯვბას,გადასინჯვას
ჭზნდრბი,ჭანდრები
მვიცლიდი,მოვიცლიდი
რომანტიკოებმა,რომანტიკოსებმა
პოტრრეით,პორტრეტით
მიუღელბად,მიუღებლად
პალეოკლიმატოლპვიი,პალეოკლიმატოლოგიის
სვრცწებში,სივრცეებში
რევლოუცონერი,რევოლუიციონერი
სასწავბლოდ,სასწავლოდ
კლავესინზეც,კლავესინზეც
ანწარმოერბებშიც,ნაწარმოებებშიც
გამგებლესსბ,გამგებლებს
ნაწილი,ნაწილი
ტოვარჯ,ტოვარი
სპამი,სპამი
იმაში,იმაში
კილომეტრი,კილომეტრი
ემი,მეი
მარხვსა,მარხვას
გაქდაღებით,გადაღებით
თეოსოფი,თეოსოფი
კიწესრიგებამედ,მოწესრიგებამდე
ვესტლიხეს,ვესტლიხეს
მიზეთზა,მიზეზთა
მიცემაო,მიცემოდა
აწმოდგა,წამოდგა
კოლმბიაში,კოლუმბიაში
ლეწნონმა,ლენონმა
აბუში,აბუში
წნტიკომკურენციუილ,ანტიკონკურენციული
კივდეიქთ,მივდექით
ლკქსხემბურგულად,ლუქსემბურგულად
მოხედიწ,მოუხედია
მომქტყუო,მომატყუო
მპვალეობასაც,მოვალეობასაც
რზდილონა,ზრდილობა
ღორინამკლსი,ღორინამკლის
მზმულიშვილებო,მამულიშვილებო
გააგო,განაგო
რაევნელ,რავენელი
ხამაშურიძე,ხამაშურიძე
აგწყვეტილი,გაწყვეტილი
ზონარი,ზონარი
ჯოაბძე,ჯობაძე
წინვრამდე,აინვრამდე
მეატლურგიის,მეტალურგიის
ამსმა,ამისმა
ფუნაფუტი,ფუნაფუტი
მომჯყვა,მომყვა
გუზ,გუზ
კუთხშეი,კუთხეში
ვანჰრევდით,ვანგრევდით
გაარებს,გატარება
კასრანი,კარსანი
სესით,წესით
ადრჩი,დარჩი
შტაყებს,შტატებს
გაჯდგომს,განდგომის
გაცლითი,გაცვლითი
ლიგწსთან,ლიგასთან
ნეიზმიით,ნეიზმითი
ეპმახო,ეპიმახო
სიუხოვი,სიუდოვი
ბატონიშვილმა,ბატონიშვილმა
ანალიზს,ანალიზს
ველორბლლა,ველორბოლა
გასაშვლელში,გასასვლელში
ავთორებთზნ,ავტორებთან
ბამბუკის,ბამბუკის
განსხვავებდსბოდნენ,განსხვავებდებოდნენ
არბეშუმსი,აბრეშუმის
გაუპატიურება,გაუპატიურება
თვტამეთი,თვრამეტი
ფოტოკამერისთვის,ფოტოკამერისთვის
შეილ,შეილი
ბოინგი,ბოინგი
ხვნეშით,ხვნეშით
ერდმანი,ერდმანი
კიონქალაქი,კინოქალაქი
ალაატ,ტალაატ
აგდავაგდებთ,გადავაგდებთ
სროლისა,სროლისა
კლვ,კლივ
ჭუჭრუტჰააში,ჭუჭრუტანაში
ბქეარა,ბექარა
განცვიფრაებ,განცვიფრება
ლოიონის,ლიონის
კრრბასა,კრებასა
უთმც,თუმც
პრემიით,პრემიით
სჯულნლ,სჯულნი
ნიღბავს,ნიღბავს
ნარატივებ,ნარატივებში
თერმული,თერმული
გავუგო,გავუგო
თამაშზეფ,თამაშზე
გელმტრიულ,გეომეტრიულ
გაარის,აგარის
საერთოშორიშო,საერთოშორისო
მწვწრველი,მწვერველი
ცერემონიაზაე,ცერემონიაზე
ბრში,ბარში
ლრეტოირა,პრეტორია
ამოგზავნა,გამოგზავნა
ბანდუნგდი,ბანდუნგში
ტოროსოის,ტოროსოსი
ადადეთი,არადეთი
სწმეფომ,სამეფომ
თქვნის,თქვენის
გაკეთებულა,გაკეთებულა
ლიუბეშკ,ლიუბეკში
დაწესებულებებია,დაწესებულებებია
სხდომაზე,სხდომაზე
მოიოხროს,ამოიოხროს
ცხენბემა,ცხენებმა
ტიუპრი,ტიპური
მომაწოდებ,მომაწოდებ
ჩრდილოთდთან,ჩრდილოეთთან
ვეკჰა,ვეკუა
დუო,უდო
ნივთიერი,ნივთიერი
დამწკრიდვა,დამწკრივდა
იწვე,იწვე
თავბრუს,თავბრუს
პერსონალური,პერსონალური
სასახპეც,სასახლეც
ლოთარს,ლოთარს
კმაბოჯა,კამბოჯა
ებრეს,ფებრეს
თხის,თხის
ლეოპოოდო,ლეოპოლდო
გუდრინკკ,გუდრინკი
საქორწინო,საქორწინო
მილერი,მილერი
მომხმარებლებისათვლს,მომხმარებლებისათვის
სევგელამეჯს,სევგელამეჯს
ჭეშმარტიტია,ჭეშმარიტია
ახლნენ,ახლდნენ
გუმნაზისტი,გიმნაზისტი
შლმოპირებულ,შემოპირებულ
მახვილიუჯთ,მახვილით
ენგუს,ენგუს
რეფორმისტი,რეფორმისტი
ორწელიწად,ორწელიწად
შემოერთებისათვის,შემოერთებისათვის
არნსპორტისა,ტრანსპორტისა
ვჯაზინს,ვიაზინს
მონღლოეთის,მონღოლეთის
მოსვენენას,მოსვენებას
კონსოლიდრებულ,კონსოლიდირებულ
კნტროლთან,კონტროლთან
ასლანკა,ასლანკა
გავეთე,გავერთე
ავარია,ავარიამ
მენელეკ,მენელეკ
მიზერულიზ,მიზერულია
ცოდნიყ,ცოდნით
თუმანსაც,თუმანსაც
გამომხსნელს,გამომხსნელს
იმი,იმაი
ქამარში,ქამარში
ფუნციონირებდა,ფუნციონირებდა
გავრელებადი,გავრცელებადი
ხერონწ,ხერონა
ერთკლასოანი,ერთკლასიანი
დადგმის,დადგმის
ფასვიოლოზის,ფასციოლოზის
გეოპოლიტიკუგკწ,გეოპოლიტიკურმა
პსნზის,პენზის
კდრლის,კერლის
უახტა,იახტა
დედიშობილა,დედიშობილა
უკანანო,უკანანო
გვხვცებინ,გვხვდებიან
აირჩიეს,აირჩიეს
უნგრთემა,უნგრეთმა
კეუგერი,კრუგერი
ესირნობდჰენ,სეირნობდნენ
ლიგის,ლიგის
პალესტჯნელმა,პალესტინელმა
დავროდმიკლი,დავრდომილი
გამოვიდნეო,გამოვიდნენო
სექტორში,სექტორში
მდოასა,მოდასა
ვენც,ვენც
სინაირი,მისნაირი
კობურგ,კობურგ
კგიმსაძისან,კვიმსაძისაგან
ზღაშფოთნს,აღაშფოთნა
ხელსად,ხელსაც
ტელე,ტელე
ამნქანაშ,მანქანას
გერინსგ,გერინგს
სულისკგცეთებიშა,სულისკვეთებისა
დაფატრავ,დაფატრავს
ექსპორიტთ,ექსპორტით
მვალეობისა,მოვალეობისა
გაერკვა,გაერკვა
მოელეა,მოხელეთა
გაზთეები,გაზეთები
სიმიორე,სინიორე
ფალეოგენური,პალეოგენური
სამსხვერპლო,სამსხვერპლო
დესს,წესს
ლგახაკო,გლახაკო
დიფყონგების,დიფთონგების
ვაჟიშვილი,ვაჟიშვილი
ჰიტლერიჰეგდელები,ჰიტლერიუგენდელები
ევანგელურ,ევანგელურ
შეჰქონდა,შეჰქონდა
რრვევით,რღვევით
დაგებულ,დაგებულ
საუკუნის,საუკუნის
დნერპ,დნეპრ
ავტოკეფალრჯი,ავტოკეფალური
მოლარაკბები,მოლარაკებები
კბოალაეძ,კობალაძე
დღეგამოშვებით,დღეგამოშვებით
თუთაშხიაა,თუთაშხიაა
რსპუბლიკთი,რესპუბლიკით
მონეტებთან,მონეტებთან
რუბაშვილი,რუბაშვილი
ალბერტმ,ალბერტმა
თავისუფლებების,თავისუფლებების
ცზვარიო,ცხვარიო
მგრედი,მტრედი
გაძლიერებსია,გაძლიერებისა
გაახფია,გაახვია
კანტატეი,კანტატები
რსეურსებიაათვის,რესურსებისათვის
ლაკუშაძე,კაკუშაძე
იკკუმ,კიკუმ
ქნცერტში,კონცერტში
ბიოჯრავალფეროვნეაბს,ბიომრავალფეროვნებას
დაფარა,დაფარა
ხმელთაშუა,ხმელთაშუა
ნატსნენს,ნატანებს
ფფია,ფიფა
მოირბინა,მოირბინა
ბენია,ბენიატ
ემერონ,კემერონ
დაარესბულ,დაარსებულ
ჯარისგან,ჯარისგან
სიჩუმეში,სიჩუმეში
მიეკუღვნება,მიეკუღვნება
კვლევებს,კვლევებს
პორვინცია,პორვინციად
სიბუიანკ,სიბუიანის
ნაპზრასვ,ნაპარავს
ჩამოგარომევთდი,ჩამოგარომევდით
მქონე,მქონე
დსამა,დასმა
გავყვაი,გავყავი
მომშივნჯა,მომშივნია
ქვეადზე,ქვედაზე
მესაამიდან,მესამიდან
აგნეიტს,მაგნეზიტს
ანომგდებად,ამომგდებად
ნამშიევრებიგ,ნამუშევრებით
ამპანიაიშ,კამპანიაში
დაფარქფა,დავარქვა
ყოველფვარად,ყოველგვარად
პრაკერ,პარკერ
როტმისტრი,როტმისტრი
მაკრატოით,მაკრატლით
ჰუმაზნიზმსა,ჰუმანიზმსა
უოშიაკი,იოშიაკი
მონატერსცა,მონასტერსაც
ქკონია,ქიონია
მნაილა,მანილა
ვსწვალობნდი,ვსწავლობდი
სეო,სელო
პრაშენიაც,პრაშენიაც
საკანთან,საკანთან
სვენთი,სვენეთი
ადგილისთვის,ადგილისთვის
უფლისცფხიის,უფლისციხის
თავდწპირველად,თავდაპირველად
კომპსაი,კომპასი
ლაშხჯ,ლაშხი
ყურებას,ყურებას
დაივხეა,დაიხვეწა
გამოხარჩეივა,გამოსარჩევია
თეიმურაზისათვის,თეიმურაზისათვის
გაითვისუფლ,გაითავისუფლა
დაეწლოდო,დაელოდო
გამოღვიძების,გამოღვიძების
დასაყრდენი,დასაყრდენი
წამითათუნა,წამითათუნა
მონაემებიშ,მონაცემებში
მსოფლგანწტობითვეა,მსოფლგანწყობითვეა
მართლმადოპედბელია,მართლმადიდებელია
პეფმიერ,პერმიერ
ტოსკანელი,ტოსკანელი
გაუშვეა,გაუშვეს
თავდახეთქილებც,თავდახეთქილებიც
ცხოვდებისას,ცხოვრებისას
კბიკნეხტი,კიბკნეხტი
გაუგებაი,გაუგებარი
კართაგენელთა,კართაგენელთა
ნორმებს,ნორმებს
კონფიგურაციის,კონფიგურაციის
ფრიდწრიკა,ფრიდერიკა
ვნიცენტო,ვინცენტო
სიგრილიდან,სიგრილიდან
არონ,არონ
მიწათმოქმედთა,მიწათმოქმედთა
წაღერის,წაღვერის
ჟურნალისტ,ჟურნალისტ
არზადაც,აზრადაც
მოწიწებუთ,მოწიწებით
ემკპედპკლეს,ემპედოკლეს
ხარკზაე,ხარკზე
გადაყენებულმა,გადაყენებულმა
ჯინსის,ჯინსის
ბედან,ბედან
ცქვიტეს,ცქვიტეს
იზეუიტებამ,იეზუიტებმა
დრტინვისა,დრტვინვისა
დასეაკუთღებინათ,დაესაკუთრებინათ
მოხველი,მოხვეული
ვახ,ვაზ
ემპირილ,ემპირიულ
ახლდადაბადსბული,ახლადდაბადებული
ექვტსომეულის,ექვსტომეულის
მამამთავარი,მამამთავარი
გადაკეტილ,გადაკეტილ
რეტდნზია,პრეტენზია
კომუნისზ,კომუნის
ჭეურჭლეული,ჭურჭლეული
არხებიდამ,არხებიდან
გამრიგე,გამრიგე
ქაღალდისფერი,ქაღალდისფერი
ღისერებიან,აღიწერებიან
მოკპავდა,მოკლავდა
სადდა,სადად
პლატფორმის,პლატფორმის
დაბლობებებსე,დაბლობებებზე
ფუღცელს,ფურცელს
ტეხაის,ტეხასი
მარგვა,მართვა
წღუგქვეს,აღუთქვეს
წამოხავლთ,წამოხვალთ
ნქცუმე,ნაცუმე
იქაურობაც,იქაურობაც
ზატან,ზლატან
მარხცმა,მარცხმა
სებეკაას,სებეკასა
თქვენგანი,თქვენგანი
ქაიმბიაზ,ქიამბიზა
ხლუი,ხლუსი
მეტაპურგი,მეტალურგი
სქურსი,სქურის
დაცვის,დაცვის
ჭიმჭიმელი,ჭიმჭიმელი
კიპრენსკი,კიპრენსკი
სტრატეგიჯო,სტრატეგიულ
ლონდნ,ლონდონ
ლაიბნიცის,ლაიბნიცის
დწთასა,დათასა
კამბღეზის,კამბრეზის
ხაჯგუფებებს,დაჯგუფებებს
სამრული,სამხრული
ჯიქია,ჯიქია
გამჯონაკლისების,გამონაკლისების
ანმკეტასა,ანკეტასა
შუაიმერუოი,შუაიმერული
ლწბორატორიებში,ლაბორატორიებში
მოჩვენებეი,მოჩვენებები
ზზეეყლათა,ზეზეულათა
გერონტოლოგი,გერონტოლოგი
ირპანდირენვოანი,ირლანდიურენოვანი
აბსოლუტურად,აბსოლუტურად
ხილ,ხილ
ტენეფიე,ტენერიფე
ლიტვსია,ლიტვისა
აერობუს,აერობუს
დაიბჩა,დაიბჩა
მნოჰოპოლიებთან,მონოპოლიებთან
მცოლოდ,მცოლოდ
ოესწრო,მოესწრო
რდაშიდ,რაშიდ
ნეგავდა,ნერგავდა
ბარლნ,ბარონ
სიმტკიცისა,სიმტკიცისა
დაწერედთ,დაწერდეთ
ჩანოართვა,ჩამოართვა
ბრაათაშვლიეი,ბარათაშვილები
წარმომავლობაზეც,წარმომავლობაზეც
კრგივი,კრივი
ასაკუ,ასაკი
ჰსრირი,ჰარირი
ამობურცული,ამობურცული
ბედეის,ბედენის
მიგრძმო,მიგრძნო
გააკსთოთ,გააკეთოთ
მახსოეს,მახსოეს
დაუდ,დაუდ
ბომბორას,ბომბორას
მედუქნები,მედუქნეები
მოვლის,მოვლის
კეება,კეთება
ფლაე,ფლატე
ხორბალი,ხორბალი
ადამიანები,ადამიანებია
მოიტვებმა,მოტივებმა
აფრიკას,აფრიკას
ბრაგა,ბრაგა
ამბროჯის,ამბროჯიოს
კოროლიოვის,კოროლიოვის
ტელეჟურნქლისიტ,ტელეჟურნალისტი
დაწერისთვის,დაწერისთვის
ხელსაწყოთმშენებლობა,ხელსაწყოთმშენებლობა
სპსრესთის,სპარსეთის
მეუბნება,მეუბნება
დაგვიანებკუი,დაგვიანებული
უპირატესი,უპირატესი
ბიძახემიკ,ბიძაჩემი
ტეიუდეს,ტეიდეს
ფრაიბურტში,ფრაიბურგში
წეღვეირ,წეღვერი
ვანესს,ვანესა
გაძავიროს,გააძვიროს
დაჯვრაც,დაკვრაც
მოყფასიშთვს,მოყვასისთვის
გულპსკიდი,გულსაკიდი
ამირანზე,ამირანზე
სსლმან,სალმან
დახრამული,დახრამული
რუალ,თუალ
წამწრვთი,წამართვი
აადნაშაულებდწ,ადანაშაულებდა
როინიფშილის,როინიშვილის
კრსი,კრის
ყელიხა,ყელისა
გეგმის,გეგმის
ნებაყოფლობითი,ნებაყოფლობითი
დამეკარგა,დამეკარგა
გადაიკლხა,გადაიკითხა
ბოგტოა,ბოგოტა
გამიგრძელდეს,გამიგრძელდეს
რეზიდეცნიეგი,რეზიდენციები
მორთო,მოირთო
ჯჩინარია,უჩინარია
ეპრაქი,ეპარქი
შსეარათვებია,შესართავებია
აციონის,რაციონის
გასჭიზე,გასაჭირზე
წილია,წილია
ლიტოოლდის,ლიტპოლდის
იოაკიმ,იოაკიმ
მწგოლნდება,მაგონდება
ივაეაჰდე,ივარაუდე
ქუდლთიბისაჲ,ქუელთობისაჲ
ბიბლიოგრაფი,ბიბლიოგრაფი
დსბანიას,დაბანისა
ასათურებად,სათაურებად
გამოვიკვლიოთ,გამოვიკვლიოთ
უმცირეშობბია,უმცირესობებია
იცავდნენ,იცავდნენ
საუკუნეშბი,საუკუნეებში
კაოსეულწ,კასოეულა
ჰედმეოარ,ჰედემორა
ბადენში,ბადენში
უფროსობად,უფროსობდა
ვთავზაონ,ვთავაზობ
გულაზებუს,გულაზების
მერეცკოვი,მერეცკოვი
დოლაირ,დოლარი
ბკბა,ბუბა
ექსპრესიის,ექსპრესიის
მანუაკმა,მანიაკმა
ანაკოფიიდან,ანაკოფიიდან
ნიბელუნგებზე,ნიბელუნგებზე
ბეფორის,ბელფორის
მოჯიგო,მომიგო
ხანჯკიანს,ხანჯლიანს
გეტებვროგისა,გეტებორგისა
იგნაცისაგან,იგნაცისაგან
დულითვე,დილითვე
მშვენიერებასაც,მშვენიერებასაც
აიყარა,აიყარა
ომლბანა,ომობანა
მიმნანოსი,მიმნანოსი
ხრამიდან,ხრამიდან
ჩითახევესი,ჩითახევჰესი
გლიჯუქბზურგთა,გლიუქსბურგთა
ამდგარა,ამდგარა
აძნაურთა,აზნაურთა
რატლმო,რატომო
ნიჩვეფბის,ნიჩბების
ჩურცხსლებითქ,ჩურჩხელებითა
კნუნი,კნინი
ჰეკტეოისს,ჰეკატეოსის
ადგილსბმი,ადგილებმი
ჯოჯოხსეთის,ჯოჯოხეთის
ანტარქტოკაზს,ანტარქტიკაზე
ბროდვეიზე,ბროდვეიზე
ნაკლისქ,ნაკლისა
მუშავდება,მუშავდება
კალათაში,კალათაში
მოჟი,მოჟი
ჯმარტოკაციც,მარტოკაციც
ეწოდოს,ეწოდოს
ზიგიერთს,ზოგიერთს
ძობასთვის,ძობასთვის
გორაკკდაჰ,გორაკიდან
ხასწბაჟავი,დასაბაჟავი
სიმბოლკოდ,სიმბოლოდ
ჰიორბუმის,ჰირობუმის
ღვთიკსენ,ღვთისკენ
ალივემა,ალიევმა
ცდნტრისიტ,ცენტრისტი
პოლიმათი,პოლიმათი
ოსმალეთისგაჰ,ოსმალეთისგან
ხანმოკლედ,ხანმოკლედ
ქაკულტო,საკულტო
ბიშნებზე,ნიშნებზე
მემკურჯაოა,მემკურნალა
მიაწერთ,მიაწერთ
უბნებშია,უბნებშია
პასკევიჩისგან,პასკევიჩისგან
კწნდიდწტურას,კანდიდატურას
თაგამოდებით,თავგამოდებით
გფასაოცაი,გასაოცარი
ალბინი,ალბიონი
ცუკერბერგი,ცუკერბერგი
პონას,პოვნას
რელიიურობთი,რელიგიურობით
ფიცესი,ფიცესი
ადევალა,დაევალა
წყალგამყოფი,წყალგამყოფი
მოოჴრსა,მოოჴრდა
ბარიკადებამდე,ბარიკადებამდე
ნათსეაობით,ნათესაობით
ოხარ,ჯოხარ
ლოგინებდ,ლოგინებს
ჰქინოდა,ჰქონოდა
დატოვბეა,დატოვება
სიტუზციებისას,სიტუაციებისას
სავარჯიშოები,სავარჯიშოები
პარელამენტსა,პარლამენტს
ხვუბნიოო,ავუბნიოო
უჩივლა,უჩივლა
ალამს,ალანს
გადაკრეს,გადაკრეს
ბესარაბიიას,ბესარაბიისა
დაა,დანა
მორიკონე,მორიკონე
მეცნიერებს,მეცნიერებს
შეუთხზავს,შეუთხზავს
გამოუჩნდებქთ,გამოუჩნდებათ
ქვეყნიერსბაც,ქვეყნიერებაც
ისაუჯირო,იასუჯირო
ნაგანიაჰუ,ნათანიაჰუ
უკუმოიქცა,უკუმოიქცა
ჭოროხთან,ჭოროხთან
აზიბზეკიოვი,აზიზბეკოვი
კტალილი,იტალიელი
არსებითად,არსებითად
კესქრისია,კესარიისა
ნაბთობპროდუქტები,ნავთობპროდუქტები
ენანებოდათ,ენანებოდათ
ქონებაწ,ქონება
წვერში,წვერში
ჩხიკვიშვილის,ჩხიკვიშვილის
გააკთესგ,გააკეთეგს
ხანდაზმუილ,ხანდაზმული
ციოლოოვსმიმ,ციოლკოვსკიმ
ფრესკებია,ფრესკებია
მაიოპი,მაიკოპი
აჯღარებულია,აღიარებულია
გიმარა,გიმარა
მაგსნის,მაგენის
დგ,დაგ
ყურუასთვიქ,ყურუასთვის
სთესათვ,სთესავთ
თიმუფ,თიმფუ
კაწობა,კაცობა
კომუნიკაციების,კომუნიკაციების
დაარშებიას,დაარსებისას
განთავისულფებაც,განთავისუფლებაც
სალტეშლ,სალტეში
კონდოლიზა,კონდოლიზა
ჭრჭელი,ჭრჭელი
როჯერსი,როჯერსი
ძველბიჭობაზე,ძველბიჭობაზე
კოცებს,კოცებუს
გავაკეთებდი,გავაკეთებდი
ჩამოიფხატა,ჩამოიფხატა
დაზვითიაას,დავითაიას
ერწო,ერწო
ოშის,ოშის
სახოღცე,სახორცე
ააგირალა,ააგრიალა
ოკარგავს,უკარგავს
მთამწინდაზე,მთაწმინდაზე
სომალური,სომალური
სოჟუს,სოჟის
მოცულოიჰსაა,მოცულობისაა
კაპრერა,კაპრერა
განიცდიდ,განიცდიდა
სალპაშქრო,სალაშქრო
შრგვიკედლეს,შეგვიკედლეს
ხუსტო,ხუსტო
გაცემას,გაცემას
ნიშნაცდა,ნიშნავდა
ტკებივით,ტურებივით
გწბრძოლოს,გებრძოლოს
გატარებამდე,გატარებამდე
ჯავდა,ჯავად
ხელოსნური,ხელოსნური
კასტი,კარსტი
უმგინი,სუმგინი
ღაზეი,ღაზელი
ნსწავლიც,ნასწავლიც
გწმიჯდა,გამიჯდა
მგევწელმა,მრეწველმა
წამდაგრი,წამდგარი
ჰალდან,ჰალდან
შიმშილთანაც,შიმშილთანაც
ბუდა,ბუდა
მწირაი,მწირია
პლნტო,პინტო
მეტაქხელი,მეტსახელი
სეაცნთან,სედანთან
ქუგაისის,ქუთაისის
ლოძსი,ლოძის
ლუდოფლ,ლუდოლფ
პილ,პილი
ალტეფვიია,ალტერვიზია
ჩიკვიაძე,ჩიკვაიძე
ინტერსტეარლური,ინტერსტერალური
ბგიაზნტინისტი,ბიზანტინისტი
საძელისღელის,საძელისღელის
ფქზისტებთან,ფაშისტებთან
უბრუნდეჰდა,უბრუნდებოდა
რადიოსჯგნაების,რადიოსიგნალების
გლასტნოსტსი,გლასტნოსტის
წაიყოლეი,წაიყოლიე
ვქშინგტონის,ვაშინგტონის
ჩვენმა,ჩვენმა
შესრულებულია,შესრულებულია
მართლებაში,მართლებაში
წლთაღიცხვამდე,წელთაღრიცხვამდე
ბიოგრაფიაში,ბიოგრაფიაში
ისმინებოდ,ისმინებოდა
ჭერის,ჭერის
ვიდათგვაჭამია,ვირთაგვაჭამია
აპრკები,პარკები
შეარჩევდა,შეარჩევდა
შუზღამიშას,შუაღამისას
ფოსფორი,ფოსფორი
დაიურეს,დაიხურეს
შედეგიანადაც,შედეგიანადაც
ერთნიარიც,ერთნაირიც
მუანტინსი,მაუნტინსი
შეურაცხყოფით,შეურაცხყოფით
ხვეჭისა,ხვეჭისა
შეჰც,შენც
ცისნიდსი,ციანიდის
მტრისაგტან,მტრისაგან
ამლასვნებენ,ამოასვენებენ
შეფვაასოდთ,შევაფასოდთ
ექსპერტბს,ექსპერტებს
უჭერენ,უჭერენ
უმსგავსობას,უმსგავსობას
პუის,პუის
ტაუფერსი,შტაუფერის
პიმენოვმა,პიმენოვმა
საავდრო,საავდრო
სმუბუქ,მსუბუქ
კარკის,კლარკის
ვითთაგა,ვიეთთაგა
ნეტსკიეპის,ნეტსკეიპის
ტრანსკმრიპცია,ტრანსკრიპცია
მიუგზავეს,მიუგზავნეს
ტორბას,ტორბას
აგიზიარეს,გაიზიარეს
ეტლის,ეტლის
რუთულჯრი,რუთულური
სარავლში,შარვალში
ტყეებში,ტყეებში
ექსიკასთან,მექსიკასთან
საწხუარი,საწუხარი
ევროლიგსი,ევროლიგის
ერჩუან,ერჩიან
ჯარისკაცნით,ჯარისკაცებით
ეროვნებას,ეროვნებას
მოაღწია,მოაღწია
დსოში,დოში
ატჯიკური,ტაჯიკური
ლტოლგილ,ლტოლვილ
ფილდზის,ფილდზის
გაჩუმებულხარ,გაჩუმებულხარ
მიჯკა,მიკა
დეადოთ,დაედოთ
ფალოუსრი,ფალოსური
მეცალა,მეცალა
აამატა,დაამატა
ავდოლაა,თავდოლაბა
კულტსახლ,კულტსახლი
ჩაწმრი,ჩამწრი
მიწერულის,მიწერულის
განართხო,განართხო
წაასწრებდეს,წაასწრებდეს
ირვიჯ,ირვინ
მესნგრეთა,მესანგრეთა
აგროვებდნენ,აგროვებდნენ
ტაღლოვაჰ,ტალღოვან
რაღაცებს,რაღაცებს
დაგიხოცოთ,დავიხოცოთ
რეზიუმეში,რეზიუმეში
ოჩაჩმირია,ოჩამჩირისა
ჰსნას,ხსნას
მიხდეაბ,მიხდება
ჰაგიოგრაგიისთვის,ჰაგიოგრაფიისთვის
ჯარას,ჯარსა
ჩამოვარდნა,ჩამოვარდნა
ტაოკლარეითს,ტაოკლარჯეთის
ავტორიტარლუი,ავტორიტარული
აკიოპიანი,აკოპიანი
აგინელი,ათინელი
მასხურებსავ,მსახურებსაც
გეოოლოტიკურ,გეოპოლიტიკურ
ნათესავები,ნათესავები
შენობაწ,შენობაა
განთავისუფლებაც,განთავისუფლებაც
შეოითხსვაზე,შეკითხვაზე
თრქებმა,თურქებმა
ძიალანაა,ძალიანაა
გადამაძრეს,გადამაძრეს
ცემხნენ,ცემდნენ
რაიონს,რაიონის
პაოიაშივლი,პაპიაშვილი
სოკლწბმა,სკოლებმა
თორეა,თორეა
გაზას,ბაზას
ვნოჯმრავდი,ვნომრავდი
კრუსით,კურსით
კომუნისტებჰი,კომუნისტები
შატაიძე,შატაიძე
ზტვისპირეთში,ზღვისპირეთში
მაქხვლიის,მახვილის
კორუნოლისი,კორნუოლისი
მრაგლაფუნქციური,მრავალფუნქციური
ასეთებიზთჰვის,ასეთებისთვის
გააგდებენ,გააგდებენ
თქეა,თქეა
აქივის,არქივის
ავისი,ვაისი
ქობინების,ქობინების
ხალცებსე,ხალხებზე
ჯგუებზე,ჯგუფებზე
მკაცრ,მკაცრ
თექოსიშტა,თეოქსისტა
წზთეს,წათეს
ნარგავებს,ნარგავებს
აჯკვრიელი,ანკვირელი
მურუსიძეს,მურუსიძეს
მაგთ,მაგათ
ოძსიი,ოძისი
მიდგმა,მიდგომა
დაესაკუთრებინათ,დაესაკუთრებინათ
ჭარბობს,ჭარბობს
ცხრილი,ცხრილი
კეატიშვიილ,კერატიშვილი
ფენდის,ეფენდის
იავეტი,იარვეტი
სომენებს,მოსმენებს
ოპტიკური,ოპტიკური
მოგიცდით,მოგიცდით
დამგრეულია,დანგრეულია
ცდრამეტი,ცხრამეტი
იგრლკისაჲ,იგრიკისაჲ
დოკუმენტირებული,დოკუმენტირებული
რესტაფატოლრი,რესტავრატორი
განზგადოებულ,განზოგადოებულ
ოხრანკჯს,ოხრანკის
ორმოცდათერთმეტი,ორმოცდათერთმეტი
კლარჯეითს,კლარჯეთის
ბირთვისედბკრი,ბირთვისებური
გუინვე,გუშინვე
ჯია,ჯიხა
სიმაკინქ,სიმაკინს
განქმ,განამ
სერებშა,სერებსა
დაწკეპილს,დაკეპილს
ნისლიანობა,ნისლიანობა
დინი,დინი
ჰონორატუსი,ჰონორატუსი
გასკონის,გასკონის
მოვიიცლე,მოვიცილე
ბასრქ,ბასრა
კონტდზი,კონტეზი
შეუტლეს,შეუტიეს
გემრელციაა,გემრიელიცაა
გმაომტოვო,გამომტოვო
ავგფუსტ,ავგუსტ
ბაქაოს,ბაქოს
გაააღთლა,გაამართლა
მეტნორიქ,მენტორის
დიქტატურის,დიქტატურის
ლატნის,ლატნის
გამოვლინენაა,გამოვლინებაა
თანაპარდობების,თანაფარდობების
პრიზჰედნეტი,პრიზედნეტი
კანდეალკი,კანდელაკი
ავტომაგისტრალი,ავტომაგისტრალი
კაპიკე,კაპიკე
მოისარულსები,მოსიარულეები
მამულებს,მამულებს
პაოპლოს,პაოლოს
აგსწვრივი,გასწვრივი
ვეეაბ,ვეება
კასლვბაარა,კასივაბარა
სახარჯოხ,სახარჯოდ
ზღვით,ზღვით
პირველის,პირველის
დაიბოკაბ,დაიბომბა
სოუსი,სოუსი
ვუსეტრი,ვუსტერი
ფორტეპიანოებეზ,ფორტეპიანოებზე
